timestamp,task_id,asr_model,diarization_model,asr_checkpoint,diarization_checkpoint,audio_duration_sec,asr_time_sec,diarization_time_sec,alignment_time_sec,total_time_sec,rtf
2026-09-02T12:57:40.177836,2e39f955-9577-4219-ae03-44ff49887625,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,102.24989975300014,11.51451586300027,0.10195237000061752,119.64275608800017,0.02269363146978444
2026-09-02T12:59:59.403581,0e1b43b4-7ebd-47e3-89b6-72f4d1006b8a,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,89.99154368800009,10.3420282699999,0.09143278000010469,106.32455261999985,0.020014457892945137
2026-09-02T13:00:03.668839,86a8188e-21b9-4263-9bd7-54679a6084cd,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,92.48659973699978,9.977035980999972,0.09192070300014166,108.46759075699993,0.02043936124883931
2026-09-02T13:00:06.975976,a260d629-9ced-4678-8a29-63d967290966,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,88.3953089280003,10.04268425600003,0.0959255719999419,104.33274622699992,0.019636329407986403
2026-09-02T13:00:10.010201,1da7b4dc-052f-4b90-b09e-5d64fa7da049,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,95.53003409400026,9.974634127000172,0.09957353299978422,111.44033183999909,0.021045983895622608
2026-09-02T13:00:10.874281,d13c41b1-fce6-45fb-9e59-4711f12ac707,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,82.08085734400083,9.992495432999931,0.09203159699973185,97.9707767079999,0.01836671620730265
2026-09-02T13:00:14.469278,4e203af2-94a3-42d5-8c65-9aaeb4674fbc,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,110.335296053001,9.949832800999502,0.09701475300062157,126.12035186100002,0.02399437794962226
2026-09-02T13:00:17.644246,fe67e594-8248-434a-b1c8-e460bb60d5da,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,92.79989398200087,10.014717889000167,0.09693893700023182,108.67393148200063,0.020509373681354047
2026-09-02T13:00:20.489248,3c3e9399-03c2-4e13-a308-c3bcace1e7b8,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,98.59500587100047,9.995131375999335,0.09360947700042743,114.51559186900158,0.021661470703235732
2026-09-02T13:00:23.364059,242c496e-5f9e-4366-9758-da68dda270ba,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,91.72264670500044,10.001634340000237,0.10046134399999573,107.57142900500003,0.020291875390597496
