timestamp,task_id,asr_model,diarization_model,asr_checkpoint,diarization_checkpoint,audio_duration_sec,asr_time_sec,diarization_time_sec,alignment_time_sec,total_time_sec,rtf
2026-09-02T16:04:14.632794,4bfab1c0-cfb6-4189-a8dd-146cb9516564,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,45.38019947707653,7.8733692187815905,0.06534402258694172,57.93597850576043,0.010622977808050917
2026-09-02T16:04:14.933409,0a3206e6-01bc-41f8-80a1-a1d4da61334c,gigaam,nemo,multilingual_large_ctc,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,6.053612923249602,6.675648327916861,0.07084759883582592,17.224729983136058,0.0025392224989898363
2026-09-02T16:04:15.211618,fecf0520-91e6-4498-9322-e9d232c8b58a,whisper,pyannote,large-v3-turbo,pyannote/speaker-diarization-3.1,5013.0546875,57.39583018235862,119.72331364266574,0.08086422830820084,181.68526987545192,0.03533158021728131
2026-09-02T16:04:15.468269,db31fdc5-0c9e-4fa5-8c78-8b672ca3f2ab,gigaam,pyannote,multilingual_large_ctc,pyannote/speaker-diarization-3.1,5013.0546875,4.889895947650075,121.17251617833972,0.08444580063223839,130.61250224523246,0.025146825635141208
2026-09-02T16:04:15.843832,45d24678-ad55-4313-bb70-fe4caf028ae5,whisper,,large-v3-turbo,,5013.0546875,45.20940569601953,0.0,0.0019213482737541199,49.78782684728503,0.009018334830607117
2026-09-02T16:04:16.155135,8877c175-bcf7-49e3-b7d4-32861223559b,gigaam,,multilingual_large_ctc,,5013.0546875,4.77032352425158,0.0,0.0006338320672512054,9.315253613516688,0.0009515801884520295
2026-09-02T16:04:17.299960,2f21d1d1-f781-4ac5-8a45-4eb97f6b74d1,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,45.0892198830843,6.677247056737542,0.06722708977758884,56.333533365279436,0.010326331980558878
2026-09-02T16:04:17.568251,ee3bcf74-8785-4777-ba5f-5af41306912f,gigaam,nemo,multilingual_large_ctc,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,4.789516223594546,6.680477425456047,0.07105173356831074,16.248847583308816,0.00228802483995455
2026-09-02T16:04:17.885040,aea30089-a7f6-44cc-a55c-69c5a0a0dfee,whisper,pyannote,large-v3-turbo,pyannote/speaker-diarization-3.1,5013.0546875,50.665327129885554,121.51142553426325,0.08892723545432091,176.76473652012646,0.03434567611908758
2026-09-02T16:04:18.154659,5a2cc053-50b3-4115-a604-3a727ce27bca,gigaam,pyannote,multilingual_large_ctc,pyannote/speaker-diarization-3.1,5013.0546875,4.7978411968797445,123.68229079991579,0.0844612717628479,133.07146012969315,0.02562911039393993
2026-09-02T16:04:18.416989,74fc188c-9f43-463d-b5f6-3f067cdcee68,whisper,,large-v3-turbo,,5013.0546875,46.17090924270451,0.0,0.001964295282959938,50.72591005265713,0.009210134762309934
2026-09-02T16:04:18.687759,66dd0be1-fb06-4a10-b78d-dbb399cd26e6,gigaam,,multilingual_large_ctc,,5013.0546875,4.785305004566908,0.0,0.0006184913218021393,9.542065097019076,0.0009545686817458857
2026-09-02T16:04:19.476196,612ad7a3-d2a6-4cbf-a4ba-30e85c22adf2,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,51.800711784511805,6.682922303676605,0.06395978666841984,63.04648134484887,0.011666266923841215
2026-09-02T16:04:19.790396,f8477ae4-ec02-4d2c-a72c-f115f5f76962,gigaam,nemo,multilingual_large_ctc,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,4.75710610486567,6.683701543137431,0.07124432548880577,15.95093758776784,0.0022822028406214354
2026-09-02T16:04:20.396257,c68b0980-7713-4ce8-bed6-32e0d65fd77c,whisper,pyannote,large-v3-turbo,pyannote/speaker-diarization-3.1,5013.0546875,42.773852448910475,120.58733901754022,0.0821034349501133,168.00584857910872,0.032587155267583684
2026-09-02T16:04:20.657210,da9bacc0-a1b3-44b0-be25-9b5d47097fe3,gigaam,pyannote,multilingual_large_ctc,pyannote/speaker-diarization-3.1,5013.0546875,4.814895069226623,121.78762138448656,0.08455215953290462,131.1413818448782,0.02525456519941728
2026-09-02T16:04:20.950547,76540036-b55a-4526-ac0b-5f045301065e,whisper,,large-v3-turbo,,5013.0546875,45.590770883485675,0.0,0.0019696466624736786,50.17166310735047,0.009094409242565375
2026-09-02T16:04:21.342035,e361d46c-79b7-40aa-8aae-e78abb413ea0,gigaam,,multilingual_large_ctc,,5013.0546875,4.80025277659297,0.0,0.0006304122507572174,9.339412933215499,0.0009575504509380978
2026-09-02T16:04:22.157654,cadef49a-8989-48d8-87f5-5a9a9bd65fbd,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,41.83623096160591,6.6762630101293325,0.06694477051496506,53.093324176967144,0.009677232146040745
2026-09-02T16:04:22.527365,92efca7a-c58c-4cfa-a622-c2b0689177bd,gigaam,nemo,multilingual_large_ctc,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,4.789086688309908,6.683398008346558,0.07108384557068348,16.266618814319372,0.0022885217520692497
2026-09-02T16:04:22.903723,a9f9d679-4d10-4503-9f42-f6db3d085d1b,whisper,pyannote,large-v3-turbo,pyannote/speaker-diarization-3.1,5013.0546875,47.80349070392549,120.60479860939085,0.08711057528853416,173.0406154692173,0.03359394616883807
2026-09-02T16:04:23.154288,fc3a4ba1-d1f8-4174-8a3b-68027721f4d7,gigaam,pyannote,multilingual_large_ctc,pyannote/speaker-diarization-3.1,5013.0546875,4.82226892746985,123.43593373708427,0.08460201323032379,132.88532011769712,0.025584840114424568
2026-09-02T16:04:23.429379,2bd03c38-96c9-43c4-97a0-2cfd7e9d447d,whisper,,large-v3-turbo,,5013.0546875,51.08849240653217,0.0,0.002497829496860504,55.52542920783162,0.010191090181784929
2026-09-02T16:04:23.691364,1b00f043-6595-4d51-90fa-eac7bd013504,gigaam,,multilingual_large_ctc,,5013.0546875,4.82642519287765,0.0,0.0006413944065570831,9.453960251063108,0.0009627713028769248
2026-09-02T16:04:24.365273,0311418f-2bfd-44c7-9422-a8a8abe65dba,whisper,nemo,large-v3-turbo,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,50.7194229606539,6.670576121658087,0.07131975516676903,61.99816452525556,0.011448109518017698
2026-09-02T16:04:24.581641,3b67d424-4456-4eca-9ad8-4b2f64e96cb0,gigaam,nemo,multilingual_large_ctc,nvidia/diar_streaming_sortformer_4spk-v2,5013.0546875,4.82014031149447,6.680197220295668,0.07195882685482502,16.013759860768914,0.0022940778125692726
